clean cache ok! cache_array[9705509]:8
platform,operation,access_pattern,io_size(B),blcok_size(B),data_space_size(MB),count,avg_latency(ns),throughput(op/s),bandwidth(MB)
PMEM,read,random,32,2048,1,512,206.174,4850276,148
PMEM,write,random,32,4096,1,256,193.266,5174225,157
PMEM,read,random,32,4096,1,256,220.816,4528649,138
PMEM,write,random,32,8192,1,128,325.602,3071238,93
PMEM,read,random,32,8192,1,128,269.227,3714343,113
PMEM,write,random,32,16384,1,64,145.781,6859592,209
PMEM,read,random,32,16384,1,64,386.422,2587845,78
PMEM,write,random,32,32768,1,32,105.875,9445100,288
PMEM,read,random,32,32768,1,32,238.781,4187933,127
PMEM,write,random,32,65536,1,16,103.312,9679370,295
PMEM,read,random,32,65536,1,16,331.812,3013750,91
PMEM,write,random,32,131072,1,8,94.375,10596026,323
PMEM,read,random,32,131072,1,8,175.125,5710206,174
PMEM,write,random,32,262144,1,4,75,13333333,406
PMEM,read,random,32,262144,1,4,145,6896551,210
PMEM,write,random,32,524288,1,2,44,22727272,693
PMEM,read,random,32,524288,1,2,146,6849315,209
PMEM,write,random,32,1048576,1,1,70,14285714,435
PMEM,read,random,32,1048576,1,1,265,3773584,115
PMEM,write,random,64,64,1,16384,119.124,8394642,512
PMEM,read,random,64,64,1,16384,194.286,5147049,314
PMEM,write,random,64,128,1,8192,123.448,8100600,494
PMEM,read,random,64,128,1,8192,208.878,4787485,292
PMEM,write,random,64,256,1,4096,122.193,8183767,499
PMEM,read,random,64,256,1,4096,198.229,5044670,307
PMEM,write,random,64,512,1,2048,118.228,8458231,516
PMEM,read,random,64,512,1,2048,217.783,4591732,280
PMEM,write,random,64,1024,1,1024,159.71,6261350,382
PMEM,read,random,64,1024,1,1024,215.913,4631493,282
PMEM,write,random,64,2048,1,512,245.25,4077471,248
PMEM,read,random,64,2048,1,512,218.043,4586251,279
PMEM,write,random,64,4096,1,256,167.129,5983405,365
PMEM,read,random,64,4096,1,256,241.695,4137440,252
PMEM,write,random,64,8192,1,128,272.227,3673410,224
PMEM,read,random,64,8192,1,128,313.898,3185743,194
PMEM,write,random,64,16384,1,64,111.391,8977416,547
PMEM,read,random,64,16384,1,64,360.672,2772603,169
PMEM,write,random,64,32768,1,32,108.406,9224560,563
PMEM,read,random,64,32768,1,32,194.188,5149662,314
PMEM,write,random,64,65536,1,16,106.938,9351256,570
PMEM,read,random,64,65536,1,16,186.625,5358338,327
PMEM,write,random,64,131072,1,8,101.125,9888751,603
PMEM,read,random,64,131072,1,8,176.125,5677785,346
PMEM,write,random,64,262144,1,4,75,13333333,813
PMEM,read,random,64,262144,1,4,164.25,6088280,371
PMEM,write,random,64,524288,1,2,43.5,22988505,1403
PMEM,read,random,64,524288,1,2,145,6896551,420
PMEM,write,random,64,1048576,1,1,60,16666666,1017
PMEM,read,random,64,1048576,1,1,623,1605136,97
PMEM,write,random,128,128,1,8192,133.018,7517755,917
PMEM,read,random,128,128,1,8192,287.953,3472788,423
PMEM,write,random,128,256,1,4096,137.096,7294148,890
PMEM,read,random,128,256,1,4096,393.274,2542758,310
PMEM,write,random,128,512,1,2048,137.911,7251046,885
PMEM,read,random,128,512,1,2048,283.775,3523913,430
PMEM,write,random,128,1024,1,1024,173.704,5756916,702
PMEM,read,random,128,1024,1,1024,371.714,2690241,328
PMEM,write,random,128,2048,1,512,265.449,3767198,459
PMEM,read,random,128,2048,1,512,303.184,3298331,402
PMEM,write,random,128,4096,1,256,249.609,4006259,489
PMEM,read,random,128,4096,1,256,402.016,2487465,303
PMEM,write,random,128,8192,1,128,429.945,2325877,283
PMEM,read,random,128,8192,1,128,298.055,3355088,409
PMEM,write,random,128,16384,1,64,314.312,3181547,388
PMEM,read,random,128,16384,1,64,417.141,2397273,292
PMEM,write,random,128,32768,1,32,119.656,8357273,1020
PMEM,read,random,128,32768,1,32,461.125,2168609,264
PMEM,write,random,128,65536,1,16,120.5,8298755,1013
PMEM,read,random,128,65536,1,16,376.812,2653839,323
PMEM,write,random,128,131072,1,8,107,9345794,1140
PMEM,read,random,128,131072,1,8,337.25,2965159,361
PMEM,write,random,128,262144,1,4,75.5,13245033,1616
PMEM,read,random,128,262144,1,4,305.75,3270645,399
PMEM,write,random,128,524288,1,2,41.5,24096385,2941
PMEM,read,random,128,524288,1,2,288.5,3466204,423
PMEM,write,random,128,1048576,1,1,57,17543859,2141
PMEM,read,random,128,1048576,1,1,374,2673796,326
PMEM,write,random,256,256,1,4096,146.683,6817429,1664
PMEM,read,random,256,256,1,4096,684.159,1461648,356
PMEM,write,random,256,512,1,2048,148.581,6730355,1643
PMEM,read,random,256,512,1,2048,652.463,1532653,374
PMEM,write,random,256,1024,1,1024,211.703,4723595,1153
PMEM,read,random,256,1024,1,1024,715.216,1398179,341
PMEM,write,random,256,2048,1,512,327.189,3056333,746
PMEM,read,random,256,2048,1,512,713.506,1401530,342
PMEM,write,random,256,4096,1,256,311.883,3206332,782
PMEM,read,random,256,4096,1,256,673.547,1484677,362
PMEM,write,random,256,8192,1,128,547.367,1826927,446
PMEM,read,random,256,8192,1,128,666.32,1500779,366
PMEM,write,random,256,16384,1,64,463.391,2158006,526
PMEM,read,random,256,16384,1,64,727.469,1374629,335
PMEM,write,random,256,32768,1,32,333.75,2996254,731
PMEM,read,random,256,32768,1,32,743.312,1345329,328
PMEM,write,random,256,65536,1,16,138.938,7197480,1757
PMEM,read,random,256,65536,1,16,717.75,1393242,340
PMEM,write,random,256,131072,1,8,133.25,7504690,1832
PMEM,read,random,256,131072,1,8,466.375,2144197,523
PMEM,write,random,256,262144,1,4,127.25,7858546,1918
PMEM,read,random,256,262144,1,4,623.75,1603206,391
PMEM,write,random,256,524288,1,2,101.5,9852216,2405
PMEM,read,random,256,524288,1,2,443,2257336,551
PMEM,write,random,256,1048576,1,1,92,10869565,2653
PMEM,read,random,256,1048576,1,1,483,2070393,505
PMEM,write,random,512,512,1,2048,226.931,4406632,2151
PMEM,read,random,512,512,1,2048,511.852,1953689,953
PMEM,write,random,512,1024,1,1024,232.333,4304166,2101
PMEM,read,random,512,1024,1,1024,1306.88,765178,373
PMEM,write,random,512,2048,1,512,386.305,2588630,1263
PMEM,read,random,512,2048,1,512,531.34,1882034,918
PMEM,write,random,512,4096,1,256,363.844,2748432,1342
PMEM,read,random,512,4096,1,256,1312.43,761943,372
PMEM,write,random,512,8192,1,128,655.82,1524807,744
PMEM,read,random,512,8192,1,128,535.922,1865943,911
PMEM,write,random,512,16384,1,64,606.109,1649867,805
PMEM,read,random,512,16384,1,64,545.922,1831763,894
PMEM,write,random,512,32768,1,32,428.125,2335766,1140
PMEM,read,random,512,32768,1,32,1361.94,734248,358
PMEM,write,random,512,65536,1,16,261.25,3827751,1869
PMEM,read,random,512,65536,1,16,1268,788643,385
PMEM,write,random,512,131072,1,8,170.5,5865102,2863
PMEM,read,random,512,131072,1,8,1256.12,796099,388
PMEM,write,random,512,262144,1,4,151,6622516,3233
PMEM,read,random,512,262144,1,4,1233.25,810865,395
PMEM,write,random,512,524288,1,2,148,6756756,3299
PMEM,read,random,512,524288,1,2,1170,854700,417
PMEM,write,random,512,1048576,1,1,105,9523809,4650
PMEM,read,random,512,1048576,1,1,938,1066098,520
PMEM,write,random,1024,1024,1,1024,445.682,2243754,2191
PMEM,read,random,1024,1024,1,1024,2695.78,370950,362
PMEM,write,random,1024,2048,1,512,520.914,1919702,1874
PMEM,read,random,1024,2048,1,512,2612.2,382819,373
PMEM,write,random,1024,4096,1,256,518.383,1929076,1883
PMEM,read,random,1024,4096,1,256,2616.52,382187,373
PMEM,write,random,1024,8192,1,128,826.906,1209326,1180
PMEM,read,random,1024,8192,1,128,2607.49,383510,374
PMEM,write,random,1024,16384,1,64,795.688,1256774,1227
PMEM,read,random,1024,16384,1,64,2640.81,378671,369
PMEM,write,random,1024,32768,1,32,615.625,1624365,1586
PMEM,read,random,1024,32768,1,32,919.25,1087843,1062
PMEM,write,random,1024,65536,1,16,458.312,2181917,2130
PMEM,read,random,1024,65536,1,16,2583.06,387137,378
PMEM,write,random,1024,131072,1,8,246.75,4052684,3957
PMEM,read,random,1024,131072,1,8,768.375,1301447,1270
PMEM,write,random,1024,262144,1,4,220.25,4540295,4433
PMEM,read,random,1024,262144,1,4,2518.5,397061,387
PMEM,write,random,1024,524288,1,2,197,5076142,4957
PMEM,read,random,1024,524288,1,2,558,1792114,1750
PMEM,write,random,1024,1048576,1,1,128,7812500,7629
PMEM,read,random,1024,1048576,1,1,2845,351493,343
PMEM,write,random,8,8,2,262144,213.951,4673959,35
PMEM,read,random,8,8,2,262144,180.596,5537216,42
PMEM,write,random,8,16,2,131072,201.521,4962270,37
PMEM,read,random,8,16,2,131072,175.986,5682280,43
PMEM,write,random,8,32,2,65536,182.446,5481065,41
PMEM,read,random,8,32,2,65536,176.435,5667820,43
PMEM,write,random,8,64,2,32768,112.405,8896403,67
PMEM,read,random,8,64,2,32768,188.441,5306713,40
PMEM,write,random,8,128,2,16384,112.259,8907998,67
PMEM,read,random,8,128,2,16384,181.371,5513570,42
PMEM,write,random,8,256,2,8192,111.138,8997827,68
PMEM,read,random,8,256,2,8192,181.503,5509552,42
PMEM,write,random,8,512,2,4096,111.041,9005661,68
PMEM,read,random,8,512,2,4096,187.455,5334625,40
PMEM,write,random,8,1024,2,2048,164.345,6084770,46
PMEM,read,random,8,1024,2,2048,179.179,5581020,42
PMEM,write,random,8,2048,2,1024,284.488,3515083,26
PMEM,read,random,8,2048,2,1024,182.027,5493680,41
PMEM,write,random,8,4096,2,512,259.957,3846789,29
PMEM,read,random,8,4096,2,512,200.1,4997511,38
PMEM,write,random,8,8192,2,256,494.031,2024163,15
PMEM,read,random,8,8192,2,256,223.363,4477011,34
PMEM,write,random,8,16384,2,128,337.609,2962003,22
PMEM,read,random,8,16384,2,128,320.984,3115416,23
PMEM,write,random,8,32768,2,64,109.25,9153318,69
PMEM,read,random,8,32768,2,64,407.453,2454270,18
PMEM,write,random,8,65536,2,32,101.844,9818962,74
PMEM,read,random,8,65536,2,32,197.5,5063291,38
PMEM,write,random,8,131072,2,16,96.6875,10342598,78
PMEM,read,random,8,131072,2,16,249.5,4008016,30
PMEM,write,random,8,262144,2,8,83.25,12012012,91
PMEM,read,random,8,262144,2,8,166.5,6006006,45
PMEM,write,random,8,524288,2,4,48.75,20512820,156
PMEM,read,random,8,524288,2,4,168,5952380,45
PMEM,write,random,8,1048576,2,2,43.5,22988505,175
PMEM,read,random,8,1048576,2,2,130,7692307,58
PMEM,write,random,16,16,2,131072,199.376,5015649,76
PMEM,read,random,16,16,2,131072,168.448,5936566,90
PMEM,write,random,16,32,2,65536,182.036,5493405,83
PMEM,read,random,16,32,2,65536,179.373,5574964,85
PMEM,write,random,16,64,2,32768,116.233,8603435,131
PMEM,read,random,16,64,2,32768,181.612,5506240,84
PMEM,write,random,16,128,2,16384,115.38,8667049,132
PMEM,read,random,16,128,2,16384,189.777,5269351,80
PMEM,write,random,16,256,2,8192,116.014,8619673,131
PMEM,read,random,16,256,2,8192,188.305,5310531,81
PMEM,write,random,16,512,2,4096,115.181,8681994,132
PMEM,read,random,16,512,2,4096,188.391,5308106,80
PMEM,write,random,16,1024,2,2048,164.762,6069353,92
PMEM,read,random,16,1024,2,2048,180.844,5529635,84
PMEM,write,random,16,2048,2,1024,278.904,3585459,54
PMEM,read,random,16,2048,2,1024,188.928,5293029,80
PMEM,write,random,16,4096,2,512,242.736,4119696,62
PMEM,read,random,16,4096,2,512,201.588,4960615,75
PMEM,write,random,16,8192,2,256,464.309,2153740,32
PMEM,read,random,16,8192,2,256,244.688,4086845,62
PMEM,write,random,16,16384,2,128,317.203,3152554,48
PMEM,read,random,16,16384,2,128,281.914,3547180,54
PMEM,write,random,16,32768,2,64,136.234,7340291,112
PMEM,read,random,16,32768,2,64,396.078,2524754,38
PMEM,write,random,16,65536,2,32,102.469,9759072,148
PMEM,read,random,16,65536,2,32,208.062,4806248,73
PMEM,write,random,16,131072,2,16,98.3125,10171646,155
PMEM,read,random,16,131072,2,16,220.938,4526166,69
PMEM,write,random,16,262144,2,8,79.5,12578616,191
PMEM,read,random,16,262144,2,8,160.625,6225680,94
PMEM,write,random,16,524288,2,4,47.25,21164021,322
PMEM,read,random,16,524288,2,4,161.75,6182380,94
PMEM,write,random,16,1048576,2,2,39,25641025,391
PMEM,read,random,16,1048576,2,2,141,7092198,108
PMEM,write,random,32,32,2,65536,185.066,5403489,164
PMEM,read,random,32,32,2,65536,181.766,5501591,167
PMEM,write,random,32,64,2,32768,111.862,8939559,272
PMEM,read,random,32,64,2,32768,193.596,5165399,157
PMEM,write,random,32,128,2,16384,110.991,9009752,274
PMEM,read,random,32,128,2,16384,182.515,5479014,167
PMEM,write,random,32,256,2,8192,111.743,8949093,273
PMEM,read,random,32,256,2,8192,179.778,5562402,169
PMEM,write,random,32,512,2,4096,111.981,8930070,272
PMEM,read,random,32,512,2,4096,187.963,5320185,162
PMEM,write,random,32,1024,2,2048,166.67,5999882,183
PMEM,read,random,32,1024,2,2048,183.798,5440760,166
PMEM,write,random,32,2048,2,1024,278.14,3595316,109
PMEM,read,random,32,2048,2,1024,185.637,5386865,164
PMEM,write,random,32,4096,2,512,262.076,3815684,116
PMEM,read,random,32,4096,2,512,208.225,4802506,146
PMEM,write,random,32,8192,2,256,494.73,2021302,61
PMEM,read,random,32,8192,2,256,237.684,4207273,128
PMEM,write,random,32,16384,2,128,385.922,2591198,79
PMEM,read,random,32,16384,2,128,278.492,3590765,109
PMEM,write,random,32,32768,2,64,113.25,8830022,269
PMEM,read,random,32,32768,2,64,440.594,2269664,69
PMEM,write,random,32,65536,2,32,109.188,9158557,279
PMEM,read,random,32,65536,2,32,222.594,4492489,137
PMEM,write,random,32,131072,2,16,106.875,9356725,285
PMEM,read,random,32,131072,2,16,323.875,3087610,94
PMEM,write,random,32,262144,2,8,93.25,10723860,327
PMEM,read,random,32,262144,2,8,149.75,6677796,203
PMEM,write,random,32,524288,2,4,71.75,13937282,425
PMEM,read,random,32,524288,2,4,196,5102040,155
PMEM,write,random,32,1048576,2,2,42.5,23529411,718
PMEM,read,random,32,1048576,2,2,138.5,7220216,220
PMEM,write,random,64,64,2,32768,116.761,8564482,522
PMEM,read,random,64,64,2,32768,201.564,4961215,302
PMEM,write,random,64,128,2,16384,121.206,8250433,503
PMEM,read,random,64,128,2,16384,200.188,4995316,304
PMEM,write,random,64,256,2,8192,120.291,8313172,507
PMEM,read,random,64,256,2,8192,212.565,4704436,287
PMEM,write,random,64,512,2,4096,120.813,8277272,505
PMEM,read,random,64,512,2,4096,206.572,4840938,295
PMEM,write,random,64,1024,2,2048,168.234,5944088,362
PMEM,read,random,64,1024,2,2048,199.994,5000146,305
PMEM,write,random,64,2048,2,1024,285.6,3501405,213
PMEM,read,random,64,2048,2,1024,219.589,4553964,277
PMEM,write,random,64,4096,2,512,249.096,4014521,245
PMEM,read,random,64,4096,2,512,231.506,4319545,263
PMEM,write,random,64,8192,2,256,497.082,2011740,122
PMEM,read,random,64,8192,2,256,245.348,4075849,248
PMEM,write,random,64,16384,2,128,346.625,2884962,176
PMEM,read,random,64,16384,2,128,319.344,3131421,191
PMEM,write,random,64,32768,2,64,115.469,8660351,528
PMEM,read,random,64,32768,2,64,563.203,1775558,108
PMEM,write,random,64,65536,2,32,108.031,9256580,564
PMEM,read,random,64,65536,2,32,214.844,4654545,284
PMEM,write,random,64,131072,2,16,111.562,8963585,547
PMEM,read,random,64,131072,2,16,226.562,4413793,269
PMEM,write,random,64,262144,2,8,99.375,10062893,614
PMEM,read,random,64,262144,2,8,221,4524886,276
PMEM,write,random,64,524288,2,4,82.5,12121212,739
PMEM,read,random,64,524288,2,4,216.75,4613610,281
PMEM,write,random,64,1048576,2,2,41.5,24096385,1470
PMEM,read,random,64,1048576,2,2,146.5,6825938,416
PMEM,write,random,128,128,2,16384,138.501,7220184,881
PMEM,read,random,128,128,2,16384,355.999,2808995,342
PMEM,write,random,128,256,2,8192,137.743,7259894,886
PMEM,read,random,128,256,2,8192,304.744,3281438,400
PMEM,write,random,128,512,2,4096,145.813,6858099,837
PMEM,read,random,128,512,2,4096,395.703,2527150,308
PMEM,write,random,128,1024,2,2048,184.007,5434580,663
PMEM,read,random,128,1024,2,2048,280.303,3567565,435
PMEM,write,random,128,2048,2,1024,310.427,3221371,393
PMEM,read,random,128,2048,2,1024,379.355,2636050,321
PMEM,write,random,128,4096,2,512,295.416,3385056,413
PMEM,read,random,128,4096,2,512,290.271,3445050,420
PMEM,write,random,128,8192,2,256,536.973,1862292,227
PMEM,read,random,128,8192,2,256,388.254,2575634,314
PMEM,write,random,128,16384,2,128,439.594,2274827,277
PMEM,read,random,128,16384,2,128,315.945,3165104,386
PMEM,write,random,128,32768,2,64,274.422,3644024,444
PMEM,read,random,128,32768,2,64,458.859,2179316,266
PMEM,write,random,128,65536,2,32,121.75,8213552,1002
PMEM,read,random,128,65536,2,32,354.5,2820874,344
PMEM,write,random,128,131072,2,16,131.812,7586533,926
PMEM,read,random,128,131072,2,16,275.062,3635537,443
PMEM,write,random,128,262144,2,8,103.125,9696969,1183
PMEM,read,random,128,262144,2,8,330.125,3029155,369
PMEM,write,random,128,524288,2,4,80.5,12422360,1516
PMEM,read,random,128,524288,2,4,316,3164556,386
PMEM,write,random,128,1048576,2,2,50.5,19801980,2417
PMEM,read,random,128,1048576,2,2,288.5,3466204,423
PMEM,write,random,256,256,2,8192,167.407,5973475,1458
PMEM,read,random,256,256,2,8192,712.276,1403950,342
PMEM,write,random,256,512,2,4096,160.591,6226996,1520
PMEM,read,random,256,512,2,4096,661.928,1510738,368
PMEM,write,random,256,1024,2,2048,220.861,4527727,1105
PMEM,read,random,256,1024,2,2048,711.698,1405089,343
PMEM,write,random,256,2048,2,1024,338.939,2950379,720
PMEM,read,random,256,2048,2,1024,754.093,1326096,323
PMEM,write,random,256,4096,2,512,345.139,2897386,707
PMEM,read,random,256,4096,2,512,780.74,1280835,312
PMEM,write,random,256,8192,2,256,623.43,1604030,391
PMEM,read,random,256,8192,2,256,704.312,1419824,346
PMEM,write,random,256,16384,2,128,569.281,1756600,428
PMEM,read,random,256,16384,2,128,714.078,1400406,341
PMEM,write,random,256,32768,2,64,433.984,2304230,562
PMEM,read,random,256,32768,2,64,701.609,1425294,347
PMEM,write,random,256,65536,2,32,296.438,3373392,823
PMEM,read,random,256,65536,2,32,641.312,1559302,380
PMEM,write,random,256,131072,2,16,218.312,4580589,1118
PMEM,read,random,256,131072,2,16,645.688,1548736,378
PMEM,write,random,256,262144,2,8,127.5,7843137,1914
PMEM,read,random,256,262144,2,8,438.75,2279202,556
PMEM,write,random,256,524288,2,4,118.25,8456659,2064
PMEM,read,random,256,524288,2,4,553.75,1805869,440
PMEM,write,random,256,1048576,2,2,102,9803921,2393
PMEM,read,random,256,1048576,2,2,403,2481389,605
PMEM,write,random,512,512,2,4096,264.378,3782460,1846
PMEM,read,random,512,512,2,4096,1305.68,765886,373
PMEM,write,random,512,1024,2,2048,283.399,3528594,1722
PMEM,read,random,512,1024,2,2048,557.091,1795037,876
PMEM,write,random,512,2048,2,1024,402.641,2483604,1212
PMEM,read,random,512,2048,2,1024,1312.46,761928,372
PMEM,write,random,512,4096,2,512,403.035,2481173,1211
PMEM,read,random,512,4096,2,512,544.361,1837015,896
PMEM,write,random,512,8192,2,256,706.047,1416336,691
PMEM,read,random,512,8192,2,256,1299.28,769656,375
PMEM,write,random,512,16384,2,128,684.461,1461003,713
PMEM,read,random,512,16384,2,128,532.914,1876475,916
PMEM,write,random,512,32768,2,64,607.219,1646852,804
PMEM,read,random,512,32768,2,64,554.812,1802410,880
PMEM,write,random,512,65536,2,32,408.875,2445735,1194
PMEM,read,random,512,65536,2,32,1291.53,774274,378
PMEM,write,random,512,131072,2,16,188.125,5315614,2595
PMEM,read,random,512,131072,2,16,1551,644745,314
PMEM,write,random,512,262144,2,8,162.75,6144393,3000
PMEM,read,random,512,262144,2,8,1339.38,746616,364
PMEM,write,random,512,524288,2,4,144.5,6920415,3379
PMEM,read,random,512,524288,2,4,1194.75,836995,408
PMEM,write,random,512,1048576,2,2,132,7575757,3699
PMEM,read,random,512,1048576,2,2,1012.5,987654,482
PMEM,write,random,1024,1024,2,2048,487.434,2051559,2003
PMEM,read,random,1024,1024,2,2048,2733.39,365846,357
PMEM,write,random,1024,2048,2,1024,511.13,1956449,1910
PMEM,read,random,1024,2048,2,1024,2722.62,367293,358
PMEM,write,random,1024,4096,2,512,526.572,1899074,1854
PMEM,read,random,1024,4096,2,512,2705.87,369567,360
PMEM,write,random,1024,8192,2,256,854.723,1169970,1142
PMEM,read,random,1024,8192,2,256,2609.57,383204,374
PMEM,write,random,1024,16384,2,128,829.703,1205250,1177
PMEM,read,random,1024,16384,2,128,2632.02,379935,371
PMEM,write,random,1024,32768,2,64,765.547,1306255,1275
PMEM,read,random,1024,32768,2,64,2597,385059,376
PMEM,write,random,1024,65536,2,32,625.844,1597842,1560
PMEM,read,random,1024,65536,2,32,722.25,1384562,1352
PMEM,write,random,1024,131072,2,16,394.5,2534854,2475
PMEM,read,random,1024,131072,2,16,2767.69,361312,352
PMEM,write,random,1024,262144,2,8,247.875,4034291,3939
PMEM,read,random,1024,262144,2,8,773.875,1292198,1261
PMEM,write,random,1024,524288,2,4,221.75,4509582,4403
PMEM,read,random,1024,524288,2,4,2480.25,403185,393
PMEM,write,random,1024,1048576,2,2,189,5291005,5166
PMEM,read,random,1024,1048576,2,2,825,1212121,1183
PMEM,write,random,8,8,4,524288,213.815,4676938,35
PMEM,read,random,8,8,4,524288,173.542,5762308,43
PMEM,write,random,8,16,4,262144,201.034,4974283,37
PMEM,read,random,8,16,4,262144,174.637,5726152,43
PMEM,write,random,8,32,4,131072,183.812,5440340,41
PMEM,read,random,8,32,4,131072,176.431,5667926,43
PMEM,write,random,8,64,4,65536,113.552,8806523,67
PMEM,read,random,8,64,4,65536,182.421,5481817,41
PMEM,write,random,8,128,4,32768,118.113,8466452,64
PMEM,read,random,8,128,4,32768,182.409,5482200,41
PMEM,write,random,8,256,4,16384,119.728,8352233,63
PMEM,read,random,8,256,4,16384,180.095,5552614,42
PMEM,write,random,8,512,4,8192,127.144,7865080,60
PMEM,read,random,8,512,4,8192,178.178,5612361,42
PMEM,write,random,8,1024,4,4096,173.54,5762375,43
PMEM,read,random,8,1024,4,4096,180.908,5527657,42
PMEM,write,random,8,2048,4,2048,311.291,3212428,24
PMEM,read,random,8,2048,4,2048,180.762,5532129,42
PMEM,write,random,8,4096,4,1024,299.383,3340205,25
PMEM,read,random,8,4096,4,1024,192.455,5196017,39
PMEM,write,random,8,8192,4,512,565.967,1766888,13
PMEM,read,random,8,8192,4,512,212.869,4697721,35
PMEM,write,random,8,16384,4,256,496.098,2015732,15
PMEM,read,random,8,16384,4,256,243.438,4107830,31
PMEM,write,random,8,32768,4,128,325.883,3068587,23
